State,Vaccinations,Population,Nominalised vaccinations,Registered,Dose
Perlis,10016,187756,5.334583182,59793,1
Kedah,33449,1595396,2.096595453,467697,1
Penang,35728,1385097,2.579458334,584986,1
Perak,52639,1932525,2.723845746,617740,1
Selangor,76273,4838547,1.576361664,2250428,1
Kuala Lumpur,52110,1481138,3.518240704,685379,1
Putrajaya,7222,56913,12.68954369,53670,1
Negeri Sembilan,29765,850890,3.498101987,354261,1
Melaka,16566,701711,2.360800957,277725,1
Kelantan,25293,1237273,2.044253774,265588,1
Terengganu,26557,841837,3.154648703,237701,1
Pahang,36049,1235357,2.918103836,342887,1
Johor,49401,2839652,1.739685004,1063079,1
Sabah,53859,2921000,1.843854844,394989,1
Labuan,3331,72272,4.608977197,27333,1
Sarawak,57682,2072490,2.783222114,686498,1
Perlis,8026,187756,4.274696947,59793,2
Kedah,24698,1595396,1.548079599,467697,2
Penang,24862,1385097,1.79496454,584986,2
Perak,37884,1932525,1.960336865,617740,2
Selangor,51383,4838547,1.061951036,2250428,2
Kuala Lumpur,33603,1481138,2.268728505,685379,2
Putrajaya,4541,56913,7.978844904,53670,2
Negeri Sembilan,17160,850890,2.016711913,354261,2
Melaka,10419,701711,1.484799298,277725,2
Kelantan,18951,1237273,1.531674901,265588,2
Terengganu,15805,841837,1.877441833,237701,2
Pahang,28110,1235357,2.275455597,342887,2
Johor,27323,2839652,0.962195368,1063079,2
Sabah,40162,2921000,1.374940089,394989,2
Labuan,2319,72272,3.208711534,27333,2
Sarawak,30014,2072490,1.448209642,686498,2
