date,vaccinated_pop,State,Dose,Total_pop,Nominalised Vaccinations,,dose1_perak,dose2_perak,dose1_selangor,dose2_selangor,dose1_kl,dose2_kl,dose1_putrajaya,dose2_putrajaya,dose1_ns,dose2_ns,dose1_melaka,dose2_melaka,dose1_kelantan,dose2_kelantan,dose1_terengganu,dose2_terengganu,dose1_pahang,dose2_pahang,dose1_johor,dose2_johor,dose1_sabah,dose2_sabah,dose1_labuan,dose2_labuan,dose1_sarawak,dose2_sarawak
3/03/2021,1598,Perlis,1,187756,0.851104625,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/04/2021,1896,Perlis,1,1595396,1.009821257,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/05/2021,2223,Perlis,1,1385097,1.183983468,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/06/2021,2223,Perlis,1,1932525,1.183983468,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/07/2021,2223,Perlis,1,4838547,1.183983468,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/08/2021,3062,Perlis,1,1481138,1.630840026,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2021,4158,Perlis,1,56913,2.214576365,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2021,5241,Perlis,1,850890,2.791388824,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/11/2021,6006,Perlis,1,701711,3.198832527,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/2021,6591,Perlis,1,1237273,3.510407124,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/13/2021,6807,Perlis,1,841837,3.625450052,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/14/2021,6807,Perlis,1,1235357,3.625450052,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/15/2021,7276,Perlis,1,2839652,3.875242336,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/16/2021,8038,Perlis,1,2921000,4.281088221,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/17/2021,8795,Perlis,1,72272,4.684271075,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/18/2021,9519,Perlis,1,2072490,5.069877927,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/19/2021,9526,Perlis,1,,5.07360617,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/20/2021,9526,Perlis,1,,5.07360617,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/21/2021,9526,Perlis,1,,5.07360617,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/22/2021,9526,Perlis,1,,5.07360617,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/23/2021,9526,Perlis,1,,5.07360617,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/24/2021,9530,Perlis,1,,5.075736594,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/25/2021,9533,Perlis,1,,5.077334413,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/26/2021,9533,Perlis,1,,5.077334413,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/27/2021,9533,Perlis,1,,5.077334413,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/28/2021,9533,Perlis,1,,5.077334413,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/29/2021,9581,Perlis,1,,5.102899508,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/30/2021,9592,Perlis,1,,5.108758176,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2021,9840,Perlis,1,,5.2408445,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/01/2021,9846,Perlis,1,,5.244040137,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/02/2021,9855,Perlis,1,,5.248833593,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/03/2021,9858,Perlis,1,,5.250431411,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/04/2021,9858,Perlis,1,,5.250431411,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/05/2021,9863,Perlis,1,,5.253094442,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/06/2021,10001,Perlis,1,,5.32659409,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/07/2021,10001,Perlis,1,,5.32659409,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/08/2021,10001,Perlis,1,,5.32659409,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/09/2021,10016,Perlis,1,,5.334583182,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/03/2021,0,Perlis,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/04/2021,0,Perlis,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/05/2021,0,Perlis,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/06/2021,0,Perlis,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/07/2021,0,Perlis,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/08/2021,0,Perlis,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2021,0,Perlis,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2021,0,Perlis,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/11/2021,0,Perlis,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/2021,0,Perlis,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/13/2021,0,Perlis,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/14/2021,0,Perlis,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/15/2021,0,Perlis,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/16/2021,0,Perlis,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/17/2021,0,Perlis,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/18/2021,1,Perlis,2,,0.000532606,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/19/2021,154,Perlis,2,,0.082021347,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/20/2021,156,Perlis,2,,0.083086559,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/21/2021,156,Perlis,2,,0.083086559,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/22/2021,504,Perlis,2,,0.268433499,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/23/2021,1037,Perlis,2,,0.552312576,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/24/2021,1561,Perlis,2,,0.831398198,,,,,,,,,,,,,,,,,,,,,,,,,,,
